"job_location","average_salary","min_salary","median_salary","max_salary","number_of_job_postings","number_of_senior_positions"
"Chiasso, Switzerland","172500.0","172500.0",172500,"172500.0","1","1"
"Chicago, IL","137303.5","37500.0",125000,"350000.0","82","21"
"Chico, CA","80718.0","80718.0",80718,"80718.0","2","0"
"Chile","142437.5","121000.0",142437.5,"163875.0","2","0"
"Cincinnati, OH","136722.2","90000.0",121500,"200000.0","9","2"
"Cité Mahrajène, Tunisia","36000.0","36000.0",36000,"36000.0","1","0"
"Claymont, DE","200000.0","170000.0",205000,"227500.0","5","3"
"Clayton, IN","90000.0","90000.0",90000,"90000.0","1","0"
"Clearfield, UT","122665.2","90000.0",124250,"154000.0","23","6"
"Clearwater, FL","123836.5","91509.6015625",130000,"150000.0","3","2"
"Cleveland, OH","117414.3","114871.5",115000,"125000.0","5","0"
"Cluj-Napoca, Romania","90016.7","56700.0",80850,"132500.0","3","0"
"Cluses, France","69962.5","69962.5",69962.5,"69962.5","1","0"
"College Park, GA","138328.0","138328.0",138328,"138328.0","1","0"
"College Park, MD","129723.3","109500.0",129723.25,"149946.5","2","0"
"Collierville, TN","103128.0","103128.0",103128,"103128.0","1","0"
"Collinsville, IL","100000.0","100000.0",100000,"100000.0","1","0"
"Colombo, Sri Lanka","104323.3","64800.0",90670,"157500.0","3","0"
"Colorado","142369.8","130000.0",136849,"175000.0","5","0"
"Colorado Springs, CO","114701.7","87500.0",115000,"175000.0","28","0"
"Columbia, MD","144907.6","63000.0",158500,"191000.0","23","4"
"Columbia, MO","90000.0","90000.0",90000,"90000.0","1","1"
"Columbia, SC","100978.0","37860.0",90000,"216500.0","5","0"
"Columbus, IN","90000.0","90000.0",90000,"90000.0","1","1"
"Columbus, OH","132211.9","69570.0",120000,"375000.0","21","3"
"Commerce, CA","206500.0","206500.0",206500,"206500.0","2","0"
"Concord, NC","75000.0","75000.0",75000,"75000.0","1","1"
"Conway, AR","90000.0","90000.0",90000,"90000.0","1","1"
"Copenhagen, Denmark","68775.0","56700.0",68775,"80850.0","2","0"
"Coral Gables, FL","61500.0","61500.0",61500,"61500.0","1","0"
"Coraopolis, PA","132344.0","129688.0",132344,"135000.0","2","1"
"Coronado, CA","118143.3","107937.0",118143.25,"128349.5","2","0"
"Costa Mesa, CA","147600.0","86300.0",156500,"200000.0","3","0"
"Costa Rica","120464.0","120464.0",120464,"120464.0","1","0"
"Cottonwood Heights, UT","138000.0","138000.0",138000,"138000.0","2","0"
"Covina, CA","160000.0","160000.0",160000,"160000.0","2","2"
"Croatia","157500.0","157500.0",157500,"157500.0","1","0"
"Culver City, CA","163166.7","150000.0",168000,"171500.0","3","1"
"Cupertino, CA","174625.0","147000.0",173000,"209500.0","8","2"
"Cyprus","191000.0","191000.0",191000,"191000.0","1","0"
